BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,30,27,23,23,22,21,89,75,50,1014,1012,1010,19,12,10,24,14,,0.00,3,,131
2016-1-2,29,27,24,24,23,22,89,78,56,1014,1013,1011,19,12,4,21,11,,3.05,3,Rain,97
2016-1-3,30,27,24,24,23,22,94,77,56,1013,1012,1011,19,13,10,21,10,,0.00,3,,80
2016-1-4,31,28,24,24,23,22,89,75,53,1014,1012,1010,19,12,10,21,11,,0.00,3,,66
2016-1-5,31,28,25,24,23,22,84,74,54,1014,1013,1011,19,12,10,24,13,,0.00,2,,89
2016-1-6,30,28,25,25,24,23,94,78,61,1014,1012,1011,19,12,10,26,11,,0.00,4,,89
2016-1-7,29,27,24,25,24,23,89,82,70,1014,1013,1011,19,12,3,19,10,,12.95,4,Rain,94
2016-1-8,29,27,24,25,24,23,100,85,63,1014,1012,1011,19,11,3,26,11,42,0.51,4,Rain,128
2016-1-9,29,27,24,24,24,22,100,85,64,1014,1012,1011,19,12,10,29,11,,0.00,4,,154
2016-1-10,27,26,23,25,23,22,100,89,78,1014,1013,1011,19,10,3,21,10,,0.00,5,Rain,140
2016-1-11,29,27,25,24,24,23,89,79,59,1013,1012,1010,19,12,10,32,18,,1.02,4,,133
2016-1-12,31,27,24,24,23,22,100,79,52,1013,1011,1009,19,11,8,27,14,,0.00,3,Rain,136
2016-1-13,27,26,24,25,24,23,100,93,84,1013,1011,1010,19,9,2,24,10,,6.10,5,Rain,142
2016-1-14,25,23,22,24,23,22,100,94,87,1014,1012,1011,19,10,3,23,6,,6.10,6,Rain-Thunderstorm,178
2016-1-15,29,26,23,24,23,22,95,84,59,1014,1012,1010,19,11,8,24,10,,0.00,4,,136
2016-1-16,29,27,24,24,23,22,94,80,62,1013,1011,1009,19,12,10,24,11,,0.00,3,,93
2016-1-17,31,28,24,25,24,22,94,81,53,1014,1011,1010,19,12,10,19,8,,0.00,5,Rain,112
2016-1-18,28,25,22,25,23,21,94,89,74,1013,1011,1009,19,9,1,19,10,34,22.10,6,Rain,95
2016-1-19,29,26,22,24,23,22,94,85,64,1013,1011,1009,19,10,2,19,6,,10.92,5,Rain,65
2016-1-20,29,26,23,24,23,23,95,82,65,1012,1011,1009,19,10,8,21,11,,0.00,4,Rain,97
2016-1-21,29,27,25,24,23,23,89,79,63,1013,1011,1009,19,11,8,24,13,,0.76,5,Rain,89
2016-1-22,29,27,24,25,24,22,94,81,66,1014,1012,1010,19,12,2,27,11,55,0.00,5,Rain,86
2016-1-23,29,27,24,25,24,23,94,82,66,1015,1014,1012,19,11,3,26,13,,0.00,5,Rain,103
2016-1-24,30,27,24,24,23,23,94,77,61,1016,1014,1012,19,11,4,23,13,,0.00,4,Rain,94
2016-1-25,30,27,24,24,23,22,94,77,57,1015,1014,1013,19,12,10,27,14,,0.00,4,,113
2016-1-26,30,27,24,23,23,22,94,74,53,1015,1013,1012,19,11,10,21,13,,0.00,3,,90
2016-1-27,30,28,25,23,23,22,89,74,59,1014,1013,1012,19,12,10,24,16,,0.00,3,,97
2016-1-28,31,28,25,23,22,20,83,70,52,1014,1013,1012,19,12,10,32,19,,0.00,3,,126
2016-1-29,31,27,23,23,21,18,94,71,38,1014,1012,1010,19,11,10,29,14,55,1.02,3,Rain,158
2016-1-30,30,26,21,23,21,19,94,75,51,1015,1013,1011,19,12,9,27,13,,7.11,3,Rain,157
2016-1-31,30,27,23,24,23,22,100,82,54,1015,1013,1012,19,11,4,27,13,,0.00,4,Rain-Thunderstorm,152
2016-2-1,31,28,24,25,24,23,94,81,62,1014,1013,1012,19,12,10,34,14,,0.00,3,Rain,144
2016-2-2,30,27,24,24,23,22,96,79,54,1013,1011,1010,19,11,5,32,14,,0.00,4,Rain,140
2016-2-3,31,27,23,24,23,22,94,78,53,1013,1011,1010,19,11,10,29,13,,0.00,2,,154
2016-2-4,31,27,23,23,23,22,94,76,50,1014,1012,1011,19,12,10,29,16,,0.00,2,,150
2016-2-5,31,27,23,23,22,21,94,73,52,1014,1013,1012,19,12,10,34,18,,0.00,3,,151
2016-2-6,31,28,24,23,22,21,89,73,47,1015,1014,1012,19,11,10,35,16,,0.00,2,,155
2016-2-7,31,27,23,23,22,20,94,73,43,1015,1014,1011,19,12,10,34,16,,0.00,2,,153
2016-2-8,25,23,22,24,22,21,100,91,83,1016,1015,1012,19,9,2,19,10,,18.03,5,Rain,166
2016-2-9,30,26,22,25,23,21,100,83,60,1016,1015,1013,19,12,10,35,13,,0.00,2,,154
2016-2-10,30,27,24,24,23,22,95,81,53,1016,1014,1012,19,11,2,35,14,,0.00,3,Rain,141
2016-2-11,30,26,22,23,22,21,94,77,53,1014,1012,1010,19,13,10,27,13,,0.00,2,,142
2016-2-12,30,26,22,23,22,21,95,77,50,1014,1012,1010,19,13,10,24,8,,0.00,2,,116
2016-2-13,31,27,24,25,23,23,94,78,59,1014,1012,1011,19,11,10,21,13,,0.00,2,,115
2016-2-14,31,28,25,24,23,22,89,75,53,1014,1012,1010,19,13,10,27,16,,0.00,3,,118
2016-2-15,32,28,23,24,22,21,94,75,42,1013,1012,1011,19,12,10,32,13,,0.00,2,,152
